1098.47 0.518850 0.011042 -10.032600
1108.47 0.494050 0.011691 -9.907900
1118.47 0.470150 0.013190 -9.782010
1128.47 0.447100 0.013990 -9.654970
1138.47 0.424850 0.014739 -9.526750
1148.47 0.403500 0.015589 -9.397380
1158.47 0.382900 0.017038 -9.266850
1168.47 0.363100 0.018937 -9.135150
1178.47 0.270000 0.019987 -9.002270
1188.47 0.325850 0.020586 -8.868240
1198.47 0.308400 0.020286 -8.733050
1208.47 0.291650 0.019335 -8.596680
1218.47 0.275600 0.017834 -8.459150
1228.47 0.260250 0.017434 -8.320470
1238.47 0.245650 0.018133 -8.180620
1248.47 0.266400 0.019332 -8.039600
1258.47 0.272700 0.019882 -7.897420
1268.47 0.270800 0.019781 -7.754070
1278.47 0.193450 0.019181 -7.609560
1288.47 0.144500 0.017730 -7.463880
1298.47 0.175150 0.016579 -7.317050
1308.47 0.160600 0.015978 -7.169040
1318.47 0.150750 0.015778 -7.019870
1328.47 0.127500 0.016027 -6.869540
1338.47 0.167900 0.016626 -6.718030
1348.47 0.179350 0.017026 -6.565370
1358.47 0.093050 0.016825 -6.411540
1368.47 0.104750 0.016424 -6.256560
1378.47 0.081300 0.015774 -6.100400
1388.47 0.071300 0.014873 -5.943090
1398.47 0.080250 0.013972 -5.784590
1408.47 0.076800 0.013321 -5.624950
1418.47 0.072950 0.012671 -5.464140
1428.47 0.073600 0.012220 -5.302160
1438.47 0.051350 0.011619 -5.139020
1448.47 0.055400 0.010819 -4.974720
1458.47 0.070000 0.010318 -4.809240
1468.47 0.046850 0.010117 -4.642610
1478.47 0.043050 0.009916 -4.474810
1488.47 0.044500 0.008215 -4.305850
1498.47 0.041450 0.007465 -4.135710
1508.47 0.034400 0.006364 -3.964420
1518.47 0.036000 0.006463 -3.791960
1528.47 0.040050 0.007462 -3.618350
1538.47 0.043600 0.008262 -3.443560
1548.47 0.060800 0.011111 -3.267610
1558.47 0.089200 0.015260 -3.090500
1568.47 0.076750 0.013759 -2.912220
1578.47 0.064350 0.011908 -2.732770
1588.47 0.065250 0.011708 -2.552170
1598.47 0.055800 0.010057 -2.370390
1608.47 0.054850 0.009706 -2.187450
1618.47 0.054600 0.009605 -2.003360
1628.47 0.061900 0.010704 -1.818080
1638.47 0.057850 0.010403 -1.631650
