1213.006000 0 0.512566 -0.614162 2.19696 2.6007 5.6587
1220.010000 0 0.567256 -0.62691 2.14764 2.5848 5.73671
1227.010000 0 0.648261 -0.693073 2.15414 2.60811 5.80834
1234.012000 0 0.605295 -0.631624 2.31828 2.69446 6.01319
1241.018000 0 0.763403 -0.512137 2.51891 2.92802 6.17055
1248.022000 0 0.828125 -0.363145 2.77809 3.19481 6.67783
1255.026000 0 0.930627 -0.19716 3.05105 3.49912 7.114
1262.030000 0 1.03326 -0.0318212 3.41849 3.88569 7.58054
1269.036000 0 1.03437 -0.0471488 3.73744 4.13383 8.11631
1276.036000 0 0.962807 0.020011 4.01888 4.47665 8.40535
1283.040000 0 1.09271 0.0877575 4.33628 4.75059 8.8176
1290.044000 0 1.21985 0.22095 4.57738 5.05528 9.27712
1297.046000 0 1.16598 0.221635 4.8666 5.27431 9.68135
1304.046000 0 1.23652 0.346875 5.16327 5.5638 10.44
1311.046000 0 1.22707 0.356393 5.36829 5.87038 10.5357
1318.048000 0 1.26939 0.451136 5.74198 6.22327 11.1207
1325.052000 0 1.35877 0.625788 6.07978 6.61541 11.631
1332.052000 0 1.31468 0.619684 6.43714 6.96394 12.1401
1339.056000 0 1.41717 0.85546 6.94554 7.44627 12.7075
1346.056000 0 1.50621 0.981761 7.44959 7.88975 13.3716
1353.056000 0 1.67369 1.16847 8.07226 8.46222 14.0729
1360.056000 0 1.76651 1.42656 8.65661 9.00229 14.7258
1367.058000 0 1.92261 1.58606 9.19754 9.49823 15.3572
1374.060000 0 1.94249 1.75987 9.76158 9.99562 16.0509
1381.060000 0 2.11835 2.01783 10.261 10.4508 16.642
1388.062000 0 2.17344 2.13978 10.6918 10.8959 17.205
1395.064000 0 2.18122 2.10608 11.0957 11.272 17.7876
1402.068000 0 2.26032 2.33008 11.502 11.6584 18.3644
1409.070000 0 2.33685 2.48033 11.9092 12.0835 18.9565
1416.070000 0 2.41454 2.60866 12.338 12.5587 19.6569
1423.072000 0 2.481 2.81787 12.8078 13.0564 20.2618
1430.074000 0 2.51024 2.98506 13.2885 13.5883 20.9105
1437.078000 0 2.58418 3.24517 13.7383 14.0967 21.5716
1444.078000 0 2.60062 3.54958 14.1782 14.6275 22.0987
1451.084000 0 2.68278 3.76742 14.6277 15.1405 22.7085
1458.086000 0 2.73455 4.09164 15.1289 15.6418 23.3726
1465.088000 0 2.80659 4.40242 15.7552 16.3552 24.1151
1472.088000 0 2.89938 4.78161 16.3671 17.0205 24.8296
1479.088000 0 3.03309 5.21244 17.0268 17.7786 25.5381
1486.088000 0 3.13516 5.73559 17.6838 18.5175 26.1927
1493.092000 0 3.24591 6.14367 18.3041 19.1212 26.4608
1500.096000 0 3.41796 6.5965 18.685 19.4832 26.4288
