2378.47 0.0307401 0.0366305 15.395300
2388.47 0.0224888 0.025128 15.669100
2398.47 0.0175819 0.004743 15.944000
2408.47 0.0173891 0.00510937 16.220100
2418.47 0.0184251 0.0111791 16.497400
2428.47 0.016318 0.00415303 16.775801
2438.47 0.0145293 0.00430989 17.055401
2448.47 0.0128917 -0.000934026 17.336100
2458.47 0.0125323 -0.00514934 17.618000
2468.47 0.0111906 -0.00732428 17.901100
2478.47 0.0123904 -0.00296232 18.185400
2488.47 0.0176224 0.00912515 18.470800
2498.47 0.0198911 0.0214139 18.757299
2508.47 0.0201637 0.0177295 19.045099
2518.47 0.0225766 0.0217967 19.333900
2528.47 0.0222251 0.0244124 19.624001
2538.47 0.0296342 0.0368742 19.915199
2548.47 0.042994 0.0697034 20.207600
2558.47 0.0413266 0.0676581 20.501200
2568.47 0.0369874 0.058653 20.795900
2578.47 0.0335458 0.0464863 21.091801
2588.47 0.0243958 0.0264491 21.388800
2598.47 0.0191049 0.0129169 21.687000
2608.47 0.0276044 0.0346552 21.986401
2618.47 0.0263776 0.0315173 22.286900
2628.47 0.045875 0.0813836 22.588699
2638.47 0.0660235 0.132914 22.891500
2648.47 0.046728 0.083565 23.195601
2658.47 0.0630791 0.125384 23.500700
2668.47 0.0931393 0.202265 23.807100
2678.47 0.130981 0.299047 24.114599
2688.47 0.151485 0.351488 24.423401
2698.47 0.156534 0.3644 24.732201
2708.47 0.161582 0.377313 25.041000
2718.47 0.16663 0.390226 25.349800
2728.47 0.17168 0.403138 25.658600
2738.47 0.176728 0.41605 25.967400
2748.47 0.181777 0.428963 26.276199
2758.47 0.186827 0.441875 26.584999
2768.47 0.191874 0.454787 26.893801
2778.47 0.196923 0.4677 27.202600
2788.47 0.201972 0.480611 27.511400
2798.47 0.207021 999.0000 27.820200
