-1714.000,-1714.000,-285.000
-1714.000,-1714.000,-255.000
-1714.000,-1714.000,-225.000
-1714.000,-1714.000,-195.000
-1714.000,-1714.000,-165.000
-1714.000,-1714.000,-135.000
-1714.000,-1714.000,-105.000
-1714.000,-1714.000,-75.000
-1714.000,-1714.000,-45.000
-1714.000,-1714.000,-15.000
-1714.000,-1714.000,15.000
-1714.000,-1714.000,45.000
-1714.000,-1714.000,75.000
-1714.000,-1714.000,105.000
-1714.000,-1714.000,135.000
-1714.000,-1714.000,165.000
-1714.000,-1714.000,195.000
-1714.000,-1714.000,225.000
-1714.000,-1714.000,255.000
-1714.000,-1714.000,285.000
-1714.000,-1613.176,-285.000
-1714.000,-1613.176,-255.000
-1714.000,-1613.176,-225.000
-1714.000,-1613.176,-195.000
-1714.000,-1613.176,-165.000
-1714.000,-1613.176,-135.000
-1714.000,-1613.176,-105.000
-1714.000,-1613.176,-75.000
-1714.000,-1613.176,-45.000
-1714.000,-1613.176,-15.000
-1714.000,-1613.176,15.000
-1714.000,-1613.176,45.000
-1714.000,-1613.176,75.000
-1714.000,-1613.176,105.000
-1714.000,-1613.176,135.000
-1714.000,-1613.176,165.000
-1714.000,-1613.176,195.000
-1714.000,-1613.176,225.000
-1714.000,-1613.176,255.000
-1714.000,-1613.176,285.000
-1714.000,-1512.353,-285.000
-1714.000,-1512.353,-255.000
-1714.000,-1512.353,-225.000
-1714.000,-1512.353,-195.000
-1714.000,-1512.353,-165.000
-1714.000,-1512.353,-135.000
-1714.000,-1512.353,-105.000
-1714.000,-1512.353,-75.000
-1714.000,-1512.353,-45.000
-1714.000,-1512.353,-15.000
-1714.000,-1512.353,15.000
-1714.000,-1512.353,45.000
-1714.000,-1512.353,75.000
-1714.000,-1512.353,105.000
-1714.000,-1512.353,135.000
-1714.000,-1512.353,165.000
-1714.000,-1512.353,195.000
-1714.000,-1512.353,225.000
-1714.000,-1512.353,255.000
-1714.000,-1512.353,285.000
-1714.000,-1411.529,-285.000
-1714.000,-1411.529,-255.000
-1714.000,-1411.529,-225.000
-1714.000,-1411.529,-195.000
-1714.000,-1411.529,-165.000
-1714.000,-1411.529,-135.000
-1714.000,-1411.529,-105.000
-1714.000,-1411.529,-75.000
-1714.000,-1411.529,-45.000
-1714.000,-1411.529,-15.000
-1714.000,-1411.529,15.000
-1714.000,-1411.529,45.000
-1714.000,-1411.529,75.000
-1714.000,-1411.529,105.000
-1714.000,-1411.529,135.000
-1714.000,-1411.529,165.000
-1714.000,-1411.529,195.000
-1714.000,-1411.529,225.000
-1714.000,-1411.529,255.000
-1714.000,-1411.529,285.000
-1714.000,-1310.706,-285.000
-1714.000,-1310.706,-255.000
-1714.000,-1310.706,-225.000
-1714.000,-1310.706,-195.000
-1714.000,-1310.706,-165.000
-1714.000,-1310.706,-135.000
-1714.000,-1310.706,-105.000
-1714.000,-1310.706,-75.000
-1714.000,-1310.706,-45.000
-1714.000,-1310.706,-15.000
-1714.000,-1310.706,15.000
-1714.000,-1310.706,45.000
-1714.000,-1310.706,75.000
-1714.000,-1310.706,105.000
-1714.000,-1310.706,135.000
-1714.000,-1310.706,165.000
-1714.000,-1310.706,195.000
-1714.000,-1310.706,225.000
-1714.000,-1310.706,255.000
-1714.000,-1310.706,285.000
-1714.000,-1209.882,-285.000
-1714.000,-1209.882,-255.000
-1714.000,-1209.882,-225.000
-1714.000,-1209.882,-195.000
-1714.000,-1209.882,-165.000
-1714.000,-1209.882,-135.000
-1714.000,-1209.882,-105.000
-1714.000,-1209.882,-75.000
-1714.000,-1209.882,-45.000
-1714.000,-1209.882,-15.000
-1714.000,-1209.882,15.000
-1714.000,-1209.882,45.000
-1714.000,-1209.882,75.000
-1714.000,-1209.882,105.000
-1714.000,-1209.882,135.000
-1714.000,-1209.882,165.000
-1714.000,-1209.882,195.000
-1714.000,-1209.882,225.000
-1714.000,-1209.882,255.000
-1714.000,-1209.882,285.000
-1714.000,-1109.059,-285.000
-1714.000,-1109.059,-255.000
-1714.000,-1109.059,-225.000
-1714.000,-1109.059,-195.000
-1714.000,-1109.059,-165.000
-1714.000,-1109.059,-135.000
-1714.000,-1109.059,-105.000
-1714.000,-1109.059,-75.000
-1714.000,-1109.059,-45.000
-1714.000,-1109.059,-15.000
-1714.000,-1109.059,15.000
-1714.000,-1109.059,45.000
-1714.000,-1109.059,75.000
-1714.000,-1109.059,105.000
-1714.000,-1109.059,135.000
-1714.000,-1109.059,165.000
-1714.000,-1109.059,195.000
-1714.000,-1109.059,225.000
-1714.000,-1109.059,255.000
-1714.000,-1109.059,285.000
-1714.000,-1008.235,-285.000
-1714.000,-1008.235,-255.000
-1714.000,-1008.235,-225.000
-1714.000,-1008.235,-195.000
-1714.000,-1008.235,-165.000
-1714.000,-1008.235,-135.000
-1714.000,-1008.235,-105.000
-1714.000,-1008.235,-75.000
-1714.000,-1008.235,-45.000
-1714.000,-1008.235,-15.000
-1714.000,-1008.235,15.000
-1714.000,-1008.235,45.000
-1714.000,-1008.235,75.000
-1714.000,-1008.235,105.000
-1714.000,-1008.235,135.000
-1714.000,-1008.235,165.000
-1714.000,-1008.235,195.000
-1714.000,-1008.235,225.000
-1714.000,-1008.235,255.000
-1714.000,-1008.235,285.000
-1714.000,-907.412,-285.000
-1714.000,-907.412,-255.000
-1714.000,-907.412,-225.000
-1714.000,-907.412,-195.000
-1714.000,-907.412,-165.000
-1714.000,-907.412,-135.000
-1714.000,-907.412,-105.000
-1714.000,-907.412,-75.000
