-1714.000,-1714.000
-1714.000,-1613.176
-1714.000,-1512.353
-1714.000,-1411.529
-1714.000,-1310.706
-1714.000,-1209.882
-1714.000,-1109.059
-1714.000,-1008.235
-1714.000,-907.412
-1714.000,-806.588
-1714.000,-705.765
-1714.000,-604.941
-1714.000,-504.118
-1714.000,-403.294
-1714.000,-302.471
-1714.000,-201.647
-1714.000,-100.824
-1714.000,0.000
-1714.000,100.824
-1714.000,201.647
-1714.000,302.471
-1714.000,403.294
-1714.000,504.118
-1714.000,604.941
-1714.000,705.765
-1714.000,806.588
-1714.000,907.412
-1714.000,1008.235
-1714.000,1109.059
-1714.000,1209.882
-1714.000,1310.706
-1714.000,1411.529
-1714.000,1512.353
-1714.000,1613.176
-1714.000,1714.000
-1613.176,-1714.000
-1613.176,-1613.176
-1613.176,-1512.353
-1613.176,-1411.529
-1613.176,-1310.706
-1613.176,-1209.882
-1613.176,-1109.059
-1613.176,-1008.235
-1613.176,-907.412
-1613.176,-806.588
-1613.176,-705.765
-1613.176,-604.941
-1613.176,-504.118
-1613.176,-403.294
-1613.176,-302.471
-1613.176,-201.647
-1613.176,-100.824
-1613.176,0.000
-1613.176,100.824
-1613.176,201.647
-1613.176,302.471
-1613.176,403.294
-1613.176,504.118
-1613.176,604.941
-1613.176,705.765
-1613.176,806.588
-1613.176,907.412
-1613.176,1008.235
-1613.176,1109.059
-1613.176,1209.882
-1613.176,1310.706
-1613.176,1411.529
-1613.176,1512.353
-1613.176,1613.176
-1613.176,1714.000
-1512.353,-1714.000
-1512.353,-1613.176
-1512.353,-1512.353
-1512.353,-1411.529
-1512.353,-1310.706
-1512.353,-1209.882
-1512.353,-1109.059
-1512.353,-1008.235
-1512.353,-907.412
-1512.353,-806.588
-1512.353,-705.765
-1512.353,-604.941
-1512.353,-504.118
-1512.353,-403.294
-1512.353,-302.471
-1512.353,-201.647
-1512.353,-100.824
-1512.353,0.000
-1512.353,100.824
-1512.353,201.647
-1512.353,302.471
-1512.353,403.294
-1512.353,504.118
-1512.353,604.941
-1512.353,705.765
-1512.353,806.588
-1512.353,907.412
-1512.353,1008.235
-1512.353,1109.059
-1512.353,1209.882
-1512.353,1310.706
-1512.353,1411.529
-1512.353,1512.353
-1512.353,1613.176
-1512.353,1714.000
-1411.529,-1714.000
-1411.529,-1613.176
-1411.529,-1512.353
-1411.529,-1411.529
-1411.529,-1310.706
-1411.529,-1209.882
-1411.529,-1109.059
-1411.529,-1008.235
-1411.529,-907.412
-1411.529,-806.588
-1411.529,-705.765
-1411.529,-604.941
-1411.529,-504.118
-1411.529,-403.294
-1411.529,-302.471
-1411.529,-201.647
-1411.529,-100.824
-1411.529,0.000
-1411.529,100.824
-1411.529,201.647
-1411.529,302.471
-1411.529,403.294
-1411.529,504.118
-1411.529,604.941
-1411.529,705.765
-1411.529,806.588
-1411.529,907.412
-1411.529,1008.235
-1411.529,1109.059
-1411.529,1209.882
-1411.529,1310.706
-1411.529,1411.529
-1411.529,1512.353
-1411.529,1613.176
-1411.529,1714.000
-1310.706,-1714.000
-1310.706,-1613.176
-1310.706,-1512.353
-1310.706,-1411.529
-1310.706,-1310.706
-1310.706,-1209.882
-1310.706,-1109.059
-1310.706,-1008.235
-1310.706,-907.412
-1310.706,-806.588
-1310.706,-705.765
-1310.706,-604.941
-1310.706,-504.118
-1310.706,-403.294
-1310.706,-302.471
-1310.706,-201.647
-1310.706,-100.824
-1310.706,0.000
-1310.706,100.824
-1310.706,201.647
-1310.706,302.471
-1310.706,403.294
